Country,Sales,Profit,Orders,Quantity
Mexico,47217.3,15949.44,203,712
Canada,45326.55,15320.95,179,620
United States,41332.53,13979.7,196,664
Japan,30950.19,9826.31,124,497
United Kingdom,30185.46,10185.32,106,374
Germany,28989.73,9518.07,95,399
China,28322.85,9028.07,109,409
Italy,27484.38,9125.06,105,378
France,26616.81,8973.46,105,393
Australia,25287.72,8072.37,107,382
Spain,23729.82,7870.25,92,278
South Korea,18745.21,6124.070000000001,88,307
Brazil,18473.97,5869.63,65,231
India,18401.54,6065.79,92,314
Argentina,17717.0,5731.0599999999995,66,234
Saudi Arabia,13680.22,4276.09,53,191
South Africa,13564.8,4072.5899999999997,62,218
Nigeria,9899.91,3031.61,46,150
Colombia,9860.16,3080.29,60,193
UAE,8773.19,2772.19,47,171
