Product_Name,Sales,Profit,Quantity,Orders
Standing Desk Converter,46614.22,14694.35,215,57
Ergonomic Office Chair,45405.15,15104.58,167,42
Corner L-Shaped Desk,41070.48,13663.0,146,39
Mesh Back Task Chair,38179.77,12820.11,213,59
Wireless Bluetooth Headphones,28258.7,10611.08,212,56
Mechanical Gaming Keyboard,24072.42,8381.19,227,58
Filing Cabinet 3-Drawer,23108.01,7041.8,170,45
Folding Table Portable,18663.13,5589.03,226,57
Portable External SSD 1TB,18065.3,6556.75,185,55
Bookshelf 5-Tier,17741.59,5490.57,154,55
Noise Cancelling Earbuds,16119.6,5973.01,138,48
Business Casual Blazer,14327.72,6004.33,160,40
Floating Wall Shelves Set,11767.3,3407.42,193,57
Webcam HD 1080p,11637.33,3910.34,211,61
Travel Backpack 30L,11204.23,4299.8099999999995,193,54
Smart LED Desk Lamp,10143.78,3289.21,222,62
Wireless Ergonomic Mouse,9995.39,3190.96,238,67
Laptop Stand Adjustable,9558.2,3174.2,207,50
Polarized Sunglasses,8454.43,3176.54,174,43
Cotton Formal Shirt,8306.97,3160.35,192,54
Monitor Riser Wood,8131.41,2010.94,174,47
Canvas Messenger Bag,6545.19,2455.6400000000003,144,39
Tablet Stand Holder,6061.7699999999995,1511.3700000000001,225,66
Leather Wallet Minimalist,5811.31,2181.81,153,42
USB-C Hub Multiport Adapter,5605.73,1670.54,152,44
Desk Organizer Set,5593.62,1349.77,148,49
Leather Belt Classic,5231.35,1836.8,165,43
Wool Blend Scarf,4256.55,1498.41,117,31
Tape Dispenser Heavy Duty,3058.89,856.52,210,53
Sports Water Bottle 750ml,2930.65,832.21,169,40
Stapler Full-Size,2622.15,544.9399999999999,211,58
Premium Notebook Set A5,2536.17,665.31,166,53
Desk Calendar 2025,2481.21,489.92,218,59
Silk Tie Collection,2307.23,667.04,84,27
Whiteboard Markers Set 8,2090.67,311.95,177,59
Binder Clips Assorted 48pc,1924.59,214.49,194,58
Ballpoint Pen Pack 12,1760.36,254.45,170,50
Sticky Notes Multicolor 6-Pack,1072.27,61.9,125,39
Highlighters Neon Pack 6,942.61,-0.37000000000000455,118,39
Paper Clips Box 500pc,901.89,-79.94999999999999,152,45
