Country,Shipping_Cost,Sales,Orders
Mexico,2074.57,47217.3,203
United States,1944.3,41332.53,196
Japan,1874.84,30950.19,124
Canada,1787.96,45326.55,179
China,1628.61,28322.85,109
Australia,1506.05,25287.72,107
France,1341.1,26616.81,105
United Kingdom,1304.68,30185.46,106
India,1295.46,18401.54,92
Italy,1266.34,27484.38,105
Germany,1249.66,28989.73,95
South Korea,1226.19,18745.21,88
Argentina,1056.32,17717.0,66
Spain,1027.59,23729.82,92
Brazil,994.26,18473.97,65
South Africa,992.87,13564.8,62
Colombia,899.27,9860.16,60
Saudi Arabia,820.99,13680.22,53
UAE,772.91,8773.19,47
Nigeria,740.27,9899.91,46
