Product_Name,Sales,Profit,Quantity,Orders
Ergonomic Office Chair,45405.15,15104.58,167,42
Standing Desk Converter,46614.22,14694.35,215,57
Corner L-Shaped Desk,41070.48,13663.0,146,39
Mesh Back Task Chair,38179.77,12820.11,213,59
Wireless Bluetooth Headphones,28258.7,10611.08,212,56
Mechanical Gaming Keyboard,24072.42,8381.19,227,58
Filing Cabinet 3-Drawer,23108.01,7041.8,170,45
Portable External SSD 1TB,18065.3,6556.75,185,55
Business Casual Blazer,14327.72,6004.33,160,40
Noise Cancelling Earbuds,16119.6,5973.01,138,48
